# DDL
CREATE DATABASE air
ALTER RETENTION POLICY "autogen" on air SHARD DURATION 720d
# DML
# CONTEXT-DATABASE: air
pm,city=Beijing humidity=43.0,pressure=1021.0,temperature=-11.0,wind_direction="NW",wind_speed=1.79,precipitation=0.0,cumulative_precipitation=0.0 350632
pm,city=Beijing humidity=47.0,pressure=1020.0,temperature=-12.0,wind_direction="NW",wind_speed=4.92,precipitation=0.0,cumulative_precipitation=0.0 350633
pm,city=Beijing humidity=43.0,pressure=1019.0,temperature=-11.0,wind_direction="NW",wind_speed=6.71,precipitation=0.0,cumulative_precipitation=0.0 350634
pm,city=Beijing humidity=55.0,pressure=1019.0,temperature=-14.0,wind_direction="NW",wind_speed=9.84,precipitation=0.0,cumulative_precipitation=0.0 350635
pm,city=Beijing humidity=51.0,pressure=1018.0,temperature=-12.0,wind_direction="NW",wind_speed=12.97,precipitation=0.0,cumulative_precipitation=0.0 350636
pm,city=Beijing humidity=47.0,pressure=1017.0,temperature=-10.0,wind_direction="NW",wind_speed=16.1,precipitation=0.0,cumulative_precipitation=0.0 350637
pm,city=Beijing humidity=44.0,pressure=1017.0,temperature=-9.0,wind_direction="NW",wind_speed=19.23,precipitation=0.0,cumulative_precipitation=0.0 350638
pm,city=Beijing humidity=44.0,pressure=1017.0,temperature=-9.0,wind_direction="NW",wind_speed=21.02,precipitation=0.0,cumulative_precipitation=0.0 350639
pm,city=Beijing humidity=44.0,pressure=1017.0,temperature=-9.0,wind_direction="NW",wind_speed=24.15,precipitation=0.0,cumulative_precipitation=0.0 350640
pm,city=Beijing humidity=37.0,pressure=1017.0,temperature=-8.0,wind_direction="NW",wind_speed=27.28,precipitation=0.0,cumulative_precipitation=0.0 350641
pm,city=Beijing humidity=37.0,pressure=1017.0,temperature=-7.0,wind_direction="NW",wind_speed=31.3,precipitation=0.0,cumulative_precipitation=0.0 350642
pm,city=Beijing humidity=35.0,pressure=1017.0,temperature=-5.0,wind_direction="NW",wind_speed=34.43,precipitation=0.0,cumulative_precipitation=0.0 350643
pm,city=Beijing humidity=32.0,pressure=1015.0,temperature=-5.0,wind_direction="NW",wind_speed=37.56,precipitation=0.0,cumulative_precipitation=0.0 350644
pm,city=Beijing humidity=30.0,pressure=1015.0,temperature=-3.0,wind_direction="NW",wind_speed=40.69,precipitation=0.0,cumulative_precipitation=0.0 350645
pm,city=Beijing humidity=28.0,pressure=1014.0,temperature=-2.0,wind_direction="NW",wind_speed=43.82,precipitation=0.0,cumulative_precipitation=0.0 350646
pm,city=Beijing humidity=26.0,pressure=1014.0,temperature=-1.0,wind_direction="cv",wind_speed=0.89,precipitation=0.0,cumulative_precipitation=0.0 350647
pm,city=Beijing humidity=25.0,pressure=1015.0,temperature=-2.0,wind_direction="NW",wind_speed=1.79,precipitation=0.0,cumulative_precipitation=0.0 350648
pm,city=Beijing humidity=30.0,pressure=1015.0,temperature=-3.0,wind_direction="NW",wind_speed=2.68,precipitation=0.0,cumulative_precipitation=0.0 350649
pm,city=Beijing humidity=35.0,pressure=1016.0,temperature=-5.0,wind_direction="NE",wind_speed=1.79,precipitation=0.0,cumulative_precipitation=0.0 350650
pm,city=Beijing humidity=35.0,pressure=1017.0,temperature=-4.0,wind_direction="NW",wind_speed=1.79,precipitation=0.0,cumulative_precipitation=0.0 350651
pm,city=Beijing humidity=38.0,pressure=1017.0,temperature=-5.0,wind_direction="cv",wind_speed=0.89,precipitation=0.0,cumulative_precipitation=0.0 350652
pm,city=Beijing humidity=38.0,pressure=1018.0,temperature=-5.0,wind_direction="NW",wind_speed=1.79,precipitation=0.0,cumulative_precipitation=0.0 350653
pm,city=Beijing humidity=38.0,pressure=1018.0,temperature=-5.0,wind_direction="NW",wind_speed=2.68,precipitation=0.0,cumulative_precipitation=0.0 350654
pm,city=Beijing humidity=41.0,pressure=1020.0,temperature=-5.0,wind_direction="cv",wind_speed=0.89,precipitation=0.0,cumulative_precipitation=0.0,pm=129.0 350655
pm,city=Beijing humidity=38.0,pressure=1020.0,temperature=-4.0,wind_direction="SE",wind_speed=1.79,precipitation=0.0,cumulative_precipitation=0.0,pm=148.0 350656
pm,city=Beijing humidity=42.0,pressure=1020.0,temperature=-4.0,wind_direction="SE",wind_speed=2.68,precipitation=0.0,cumulative_precipitation=0.0,pm=159.0 350657
pm,city=Beijing humidity=63.5,pressure=1021.0,temperature=-5.0,wind_direction="SE",wind_speed=3.57,precipitation=0.0,cumulative_precipitation=0.0,pm=181.0 350658
pm,city=Beijing humidity=85.0,pressure=1022.0,temperature=-5.0,wind_direction="SE",wind_speed=5.36,precipitation=0.0,cumulative_precipitation=0.0,pm=138.0 350659
pm,city=Beijing humidity=85.0,pressure=1022.0,temperature=-5.0,wind_direction="SE",wind_speed=6.25,precipitation=0.0,cumulative_precipitation=0.0,pm=109.0 350660
pm,city=Beijing humidity=92.0,pressure=1022.0,temperature=-6.0,wind_direction="SE",wind_speed=7.14,precipitation=0.0,cumulative_precipitation=0.0,pm=105.0 350661
pm,city=Beijing humidity=92.0,pressure=1023.0,temperature=-6.0,wind_direction="SE",wind_speed=8.93,precipitation=0.0,cumulative_precipitation=0.0,pm=124.0 350662
pm,city=Beijing humidity=85.0,pressure=1024.0,temperature=-5.0,wind_direction="SE",wind_speed=10.72,precipitation=0.0,cumulative_precipitation=0.0,pm=120.0 350663
pm,city=Beijing humidity=85.0,pressure=1024.0,temperature=-6.0,wind_direction="SE",wind_speed=12.51,precipitation=0.0,cumulative_precipitation=0.0,pm=132.0 350664
pm,city=Beijing humidity=85.0,pressure=1025.0,temperature=-5.0,wind_direction="SE",wind_speed=14.3,precipitation=0.0,cumulative_precipitation=0.0,pm=140.0 350665
pm,city=Beijing humidity=85.0,pressure=1026.0,temperature=-5.0,wind_direction="SE",wind_speed=17.43,precipitation=0.0,cumulative_precipitation=0.0,pm=152.0 350666
pm,city=Beijing humidity=79.0,pressure=1026.0,temperature=-5.0,wind_direction="SE",wind_speed=20.56,precipitation=0.0,cumulative_precipitation=0.0,pm=148.0 350667
pm,city=Beijing humidity=79.0,pressure=1026.0,temperature=-5.0,wind_direction="SE",wind_speed=23.69,precipitation=0.0,cumulative_precipitation=0.0,pm=164.0 350668
pm,city=Beijing humidity=79.0,pressure=1025.0,temperature=-5.0,wind_direction="SE",wind_speed=27.71,precipitation=0.0,cumulative_precipitation=0.0,pm=158.0 350669
pm,city=Beijing humidity=73.0,pressure=1025.0,temperature=-5.0,wind_direction="SE",wind_speed=31.73,precipitation=0.0,cumulative_precipitation=0.0,pm=154.0 350670
pm,city=Beijing humidity=73.0,pressure=1025.0,temperature=-5.0,wind_direction="SE",wind_speed=35.75,precipitation=0.0,cumulative_precipitation=0.0,pm=159.0 350671
pm,city=Beijing humidity=73.0,pressure=1026.0,temperature=-5.0,wind_direction="SE",wind_speed=37.54,precipitation=0.0,cumulative_precipitation=0.0,pm=164.0 350672
pm,city=Beijing humidity=79.0,pressure=1027.0,temperature=-5.0,wind_direction="SE",wind_speed=39.33,precipitation=0.0,cumulative_precipitation=0.0,pm=170.0 350673
pm,city=Beijing humidity=79.0,pressure=1027.0,temperature=-5.0,wind_direction="SE",wind_speed=42.46,precipitation=0.0,cumulative_precipitation=0.0,pm=149.0 350674
pm,city=Beijing humidity=79.0,pressure=1028.0,temperature=-5.0,wind_direction="SE",wind_speed=44.25,precipitation=0.0,cumulative_precipitation=0.0,pm=154.0 350675
pm,city=Beijing humidity=85.0,pressure=1028.0,temperature=-5.0,wind_direction="SE",wind_speed=46.04,precipitation=0.0,cumulative_precipitation=0.0,pm=164.0 350676
pm,city=Beijing humidity=85.0,pressure=1027.0,temperature=-5.0,wind_direction="SE",wind_speed=49.17,precipitation=0.0,cumulative_precipitation=0.0,pm=156.0 350677
pm,city=Beijing humidity=85.0,pressure=1028.0,temperature=-6.0,wind_direction="SE",wind_speed=52.3,precipitation=0.0,cumulative_precipitation=0.0,pm=126.0 350678
pm,city=Beijing humidity=85.0,pressure=1027.0,temperature=-6.0,wind_direction="SE",wind_speed=55.43,precipitation=0.0,cumulative_precipitation=0.0,pm=90.0 350679
pm,city=Beijing humidity=92.0,pressure=1027.0,temperature=-6.0,wind_direction="SE",wind_speed=58.56,precipitation=0.4,cumulative_precipitation=0.4,pm=63.0 350680
pm,city=Beijing humidity=85.0,pressure=1026.0,temperature=-6.0,wind_direction="SE",wind_speed=61.69,precipitation=0.5,cumulative_precipitation=0.9,pm=65.0 350681
pm,city=Beijing humidity=92.0,pressure=1026.0,temperature=-7.0,wind_direction="SE",wind_speed=65.71,precipitation=0.5,cumulative_precipitation=1.4,pm=55.0 350682
pm,city=Beijing humidity=92.0,pressure=1025.0,temperature=-7.0,wind_direction="SE",wind_speed=68.84,precipitation=0.7,cumulative_precipitation=2.1,pm=65.0 350683
pm,city=Beijing humidity=92.0,pressure=1024.0,temperature=-7.0,wind_direction="SE",wind_speed=72.86,precipitation=1.2,cumulative_precipitation=3.3,pm=83.0 350684
pm,city=Beijing humidity=92.0,pressure=1024.0,temperature=-8.0,wind_direction="SE",wind_speed=76.88,precipitation=0.7,cumulative_precipitation=4.0,pm=91.0 350685
pm,city=Beijing humidity=85.0,pressure=1024.0,temperature=-8.0,wind_direction="SE",wind_speed=80.9,precipitation=1.0,cumulative_precipitation=5.0,pm=86.0 350686
pm,city=Beijing humidity=92.0,pressure=1024.0,temperature=-9.0,wind_direction="SE",wind_speed=84.92,precipitation=0.7,cumulative_precipitation=5.7,pm=82.0 350687
pm,city=Beijing humidity=92.0,pressure=1024.0,temperature=-9.0,wind_direction="SE",wind_speed=89.84,precipitation=0.5,cumulative_precipitation=6.2,pm=86.0 350688
pm,city=Beijing humidity=85.0,pressure=1023.0,temperature=-9.0,wind_direction="SE",wind_speed=93.86,precipitation=0.7,cumulative_precipitation=6.9,pm=78.0 350689
pm,city=Beijing humidity=85.0,pressure=1023.0,temperature=-9.0,wind_direction="SE",wind_speed=97.88,precipitation=0.4,cumulative_precipitation=7.3,pm=98.0 350690
pm,city=Beijing humidity=85.0,pressure=1022.0,temperature=-9.0,wind_direction="SE",wind_speed=102.8,precipitation=0.5,cumulative_precipitation=7.8,pm=107.0 350691
pm,city=Beijing humidity=85.0,pressure=1021.0,temperature=-9.0,wind_direction="SE",wind_speed=105.93,precipitation=1.1,cumulative_precipitation=8.9,pm=90.0 350692
pm,city=Beijing humidity=85.0,pressure=1020.0,temperature=-9.0,wind_direction="SE",wind_speed=111.74,precipitation=0.5,cumulative_precipitation=9.4,pm=96.0 350693
pm,city=Beijing humidity=85.0,pressure=1020.0,temperature=-9.0,wind_direction="SE",wind_speed=116.66,precipitation=0.3,cumulative_precipitation=9.7,pm=95.0 350694
pm,city=Beijing humidity=85.0,pressure=1020.0,temperature=-9.0,wind_direction="SE",wind_speed=121.58,precipitation=0.5,cumulative_precipitation=10.2,pm=86.0 350695
pm,city=Beijing humidity=85.0,pressure=1020.0,temperature=-9.0,wind_direction="SE",wind_speed=124.71,precipitation=0.2,cumulative_precipitation=10.4,pm=70.0 350696
pm,city=Beijing humidity=85.0,pressure=1020.0,temperature=-9.0,wind_direction="SE",wind_speed=127.84,precipitation=0.1,cumulative_precipitation=10.5,pm=61.0 350697
pm,city=Beijing humidity=85.0,pressure=1021.0,temperature=-9.0,wind_direction="cv",wind_speed=0.89,precipitation=0.4,cumulative_precipitation=10.9,pm=53.0 350698
pm,city=Beijing humidity=85.0,pressure=1022.0,temperature=-9.0,wind_direction="cv",wind_speed=1.78,precipitation=0.3,cumulative_precipitation=11.2,pm=71.0 350699
pm,city=Beijing humidity=92.0,pressure=1022.0,temperature=-9.0,wind_direction="NW",wind_speed=4.02,precipitation=0.0,cumulative_precipitation=0.0,pm=72.0 350700
pm,city=Beijing humidity=92.0,pressure=1023.0,temperature=-10.0,wind_direction="NW",wind_speed=7.15,precipitation=0.0,cumulative_precipitation=0.0,pm=76.0 350701
pm,city=Beijing humidity=85.0,pressure=1023.0,temperature=-9.0,wind_direction="NW",wind_speed=11.17,precipitation=0.0,cumulative_precipitation=0.0,pm=73.0 350702
pm,city=Beijing humidity=92.0,pressure=1023.0,temperature=-11.0,wind_direction="NW",wind_speed=14.3,precipitation=0.0,cumulative_precipitation=0.0,pm=79.0 350703
